transaction_id,customer_id,transaction_date,amount,category
1,440,2025-06-06,58.55062910673246,Clothing
2,164,2025-08-19,140.4737292698116,Home
3,301,2025-02-08,110.68946454829216,Clothing
4,407,2024-08-01,13.613417472430545,Home
5,303,2025-11-15,85.15436684256323,Electronics
6,287,2025-05-17,159.57987880762758,Home
7,395,2025-12-21,580.5243906119085,Home
8,10,2025-03-23,119.0338888333895,Home
9,195,2025-07-29,55.50009031872907,Home
10,118,2024-09-14,30.76551479447424,Home
11,270,2026-04-23,247.46788154561114,Clothing
12,80,2024-04-30,202.20624078284885,Clothing
13,458,2026-03-20,31.976682978530885,Electronics
14,93,2024-02-23,26.87207715611602,Home
15,266,2024-11-26,150.6895359056397,Clothing
16,332,2026-02-22,45.39197526818742,Clothing
17,350,2024-08-28,43.902974526221634,Home
18,361,2026-01-24,19.826036911712745,Home
19,257,2025-06-13,36.77902794511036,Electronics
20,133,2025-04-27,66.93068936112871,Electronics
21,276,2024-07-05,158.38815905153993,Clothing
22,264,2026-05-07,49.19246817563686,Electronics
23,171,2025-10-17,956.1519786893042,Clothing
24,460,2024-09-18,40.24217022551231,Electronics
25,1,2024-12-29,78.0757515790419,Home
26,313,2025-05-05,23.907324147573668,Electronics
27,64,2025-03-06,79.77766262214071,Clothing
28,374,2024-08-26,146.15869150331642,Electronics
29,468,2024-10-30,3.6291906695878655,Clothing
30,284,2024-10-24,1.1793015005363685,Clothing
31,121,2024-03-16,9.371331136944171,Electronics
32,107,2025-11-30,92.05660432908438,Electronics
33,421,2024-11-28,231.27246400573767,Clothing
34,175,2026-01-27,0.5875720814167833,Home
35,485,2025-10-03,331.11106015454254,Electronics
36,204,2025-04-18,13.483330384885365,Clothing
37,165,2026-04-06,4428.13439662339,Home
38,305,2024-10-09,79.13178301547168,Clothing
39,497,2025-08-13,129.2305689396131,Electronics
40,120,2024-03-12,85.7693647193658,Clothing
41,44,2024-09-19,77.7919233509567,Clothing
42,312,2025-12-03,216.14405588426578,Clothing
43,156,2026-05-28,169.21458054777577,Electronics
44,367,2025-07-28,79.25888731711093,Home
45,207,2024-01-12,14.204835671257728,Home
46,390,2024-05-20,14.71476707083517,Home
47,108,2026-02-04,194.05979918060217,Home
48,251,2025-07-08,90.44722484990336,Electronics
49,445,2024-01-17,78.83846226150854,Clothing
50,404,2024-03-03,136.9448679825633,Home
51,370,2024-09-09,234.94469968771918,Home
52,334,2025-04-09,118.94536152167117,Electronics
53,130,2025-01-10,172.68642977246319,Clothing
54,457,2026-03-14,173.91859132729917,Clothing
55,293,2025-06-03,52.855513403410775,Home
56,20,2026-04-16,38.43838383247485,Home
57,282,2024-03-30,193.8330302972189,Clothing
58,285,2025-12-20,56.819494390832695,Electronics
59,1,2026-03-14,280.3817158482305,Clothing
60,119,2026-03-06,8.668579676103157,Clothing
61,35,2025-09-21,7.19771227282902,Home
62,198,2026-05-10,314.0823392577757,Electronics
63,485,2024-06-23,125.45007708573206,Electronics
64,245,2024-03-16,-57.2867772435561,Electronics
65,59,2025-09-04,168.80924279189418,Home
66,325,2025-10-24,133.88862470859655,Electronics
67,161,2025-02-03,90.90975284385381,Electronics
68,497,2026-02-20,12.493134848655172,Home
69,179,2024-03-11,-200.67228291034934,Clothing
70,206,2024-06-28,241.21062705473335,Electronics
71,12,2024-05-03,22.67350505864763,Clothing
72,490,2025-01-15,228.0644194601735,Electronics
73,276,2024-10-19,252.29801612867738,Clothing
74,181,2026-03-07,95.6686501439031,Clothing
75,242,2024-07-13,128.11610534732654,Home
76,216,2024-08-15,57.79810898936888,Home
77,251,2025-03-06,39.71946810021777,Electronics
78,299,2025-03-11,153.6088253583444,Electronics
79,126,2026-02-25,237.55167426698182,Home
80,482,2025-04-05,127.38488046461649,Electronics
81,217,2025-09-09,85.99215746519577,Electronics
82,306,2024-01-21,20.7688999470759,Home
83,285,2024-03-04,6.59288257904915,Clothing
84,185,2024-06-13,70.80412939647346,Electronics
85,39,2024-01-27,6.073063064975356,Home
86,223,2024-11-06,101.09086782920402,Electronics
87,184,2024-10-11,57.89369272868593,Electronics
88,495,2025-10-21,169.85668907367742,Home
89,427,2024-10-07,43.77323495865308,Home
90,178,2026-04-17,107.86795088127342,Electronics
91,407,2026-04-10,92.58067254863124,Electronics
92,428,2024-06-12,11.336553614445744,Clothing
93,294,2024-08-11,9.017189334664945,Clothing
94,340,2026-02-22,41.161086312749525,Home
95,151,2024-05-25,256.68778243810095,Electronics
96,384,2026-05-17,19.08159165189725,Home
97,126,2024-01-30,148.9155622985219,Home
98,301,2024-02-14,435.07055290540876,Electronics
99,308,2026-02-25,187.60248465964517,Clothing
100,336,2025-04-15,33.39838208656875,Home
101,434,2024-02-03,5735.867582563314,Home
102,234,2025-10-14,11.727717568405927,Electronics
103,380,2025-03-02,75.76543599213427,Clothing
104,375,2026-04-09,262.2209567833907,Clothing
105,8,2024-08-08,123.02079620836682,Electronics
106,498,2026-05-17,64.05949541349784,Home
107,341,2025-06-17,41.575195408787344,Electronics
108,129,2025-11-22,56.41952284855811,Electronics
109,264,2025-01-01,85.34311031210893,Clothing
110,157,2026-04-20,46.11089793635197,Home
111,352,2026-01-12,416.72782853808116,Home
112,358,2025-07-03,324.5066799287355,Clothing
113,5,2025-08-04,245.44792249015154,Home
114,495,2024-04-25,65.74644617131733,Home
115,86,2024-08-26,141.0469294870867,Electronics
116,175,2024-11-30,279.7543350834633,Electronics
117,290,2025-03-16,227.9984811628538,Electronics
118,193,2024-05-27,64.19924274875267,Home
119,311,2024-01-09,14.306204489360196,Home
120,119,2024-10-14,9.437189783361422,Home
121,218,2025-01-22,103.26414222624487,Home
122,427,2024-02-19,123.47734099504619,Clothing
123,458,2026-04-29,227.52854787991626,Clothing
124,414,2025-05-31,41.52466558249308,Home
125,114,2026-05-04,21.994393316282988,Electronics
126,466,2025-09-29,57.1720308353261,Electronics
127,145,2025-08-09,52.3557945643185,Clothing
128,26,2025-11-07,17.05247759109861,Clothing
129,136,2024-10-04,133.8724545097195,Home
130,303,2026-04-15,85.28207231660956,Home
131,232,2024-10-26,153.23802960689721,Home
132,369,2026-03-12,52.19180343166688,Home
133,76,2025-08-11,47.2900131671613,Home
134,475,2026-03-20,76.77002654535198,Electronics
135,328,2025-10-10,251.86658049303534,Electronics
136,345,2025-09-09,4.933807837103995,Home
137,302,2025-08-29,196.06784886395903,Electronics
138,452,2024-05-14,55.25157424156595,Home
139,289,2025-08-02,231.4077088571461,Home
140,1,2024-05-26,194.4616885698082,Clothing
141,147,2025-05-04,51.46547478450442,Electronics
142,287,2025-04-22,142.05201348774398,Electronics
143,464,2024-06-07,20.869954604284118,Clothing
144,142,2025-01-18,271.9290340038823,Electronics
145,53,2024-06-11,1244.0133244339631,Clothing
146,304,2025-03-16,72.97416741173234,Electronics
147,69,2026-05-02,146.80275515984766,Home
148,361,2024-07-07,206.33728066037102,Clothing
149,90,2025-02-18,32.35634488752408,Home
150,446,2024-12-04,129.9346279637113,Home
151,220,2025-08-29,59.709261568027294,Electronics
152,450,2024-06-29,55.197447040547765,Clothing
153,498,2024-10-14,-140.55195456086466,Home
154,192,2026-04-13,58.76272401555271,Home
155,454,2024-07-05,50.97766124163877,Clothing
156,63,2024-05-17,216.86503731557622,Electronics
157,73,2024-05-09,12.813532466261996,Home
158,161,2024-07-12,135.20164884917284,Electronics
159,169,2024-11-11,34.318084797531085,Clothing
160,89,2026-02-23,1.8743514059995388,Electronics
161,176,2026-05-13,21.89264235606935,Clothing
162,269,2024-05-23,111.97017484607451,Electronics
163,73,2024-01-16,148.18430298046522,Electronics
164,245,2024-10-28,2.553919348046199,Home
165,77,2025-02-26,4.4526495615276405,Electronics
166,159,2024-09-01,279.40019296818855,Home
167,489,2024-04-16,9.135800246801619,Clothing
168,459,2024-03-28,269.5243368793452,Clothing
169,324,2024-05-08,31.078279948780178,Home
170,98,2024-12-06,161.6570534948666,Electronics
171,381,2024-01-04,44.48125924431479,Clothing
172,102,2024-11-22,234.8685899585287,Clothing
173,494,2025-02-13,144.6588207634768,Clothing
174,132,2026-05-28,61.66231578452456,Home
175,102,2024-11-01,9.5244710738741,Clothing
176,19,2025-08-29,158.3261212463169,Clothing
177,454,2025-12-21,115.13033241588731,Clothing
178,482,2024-08-12,0.34991581569413127,Clothing
179,82,2024-12-13,1.1357404102319728,Home
180,397,2024-11-16,198.52782335470846,Home
181,489,2025-07-12,36.03531093818155,Electronics
182,279,2024-06-29,121.3162437383957,Clothing
183,339,2025-09-09,72.66349086730017,Home
184,365,2025-12-11,238.91016979486244,Electronics
185,331,2025-01-20,298.61355168813566,Electronics
186,129,2025-09-09,689.6421108666184,Clothing
187,344,2026-03-02,20.023515255380033,Electronics
188,310,2026-02-10,238.50143437180049,Home
189,455,2024-04-17,37.113044928053256,Electronics
190,89,2025-06-14,107.23080487344215,Electronics
191,213,2025-02-13,84.57120204310245,Home
192,143,2024-10-22,2.1782261670648784,Electronics
193,65,2026-03-28,323.95856884860916,Electronics
194,76,2024-06-19,9.787781033281405,Electronics
195,199,2024-11-26,139.8544802667569,Electronics
196,143,2025-05-07,184.4578857212983,Clothing
197,405,2024-07-13,190.33805139245786,Clothing
198,403,2024-01-12,17.471716045873322,Home
199,316,2024-07-13,71.21141530318226,Electronics
200,93,2025-05-04,212.23234644593643,Home
201,473,2026-03-05,43.261167689048435,Clothing
202,417,2026-05-30,75.67673837806933,Electronics
203,305,2024-06-30,38.225440533190124,Electronics
204,224,2026-03-27,74.73414731907644,Clothing
205,497,2025-10-17,262.5372400859121,Electronics
206,291,2024-11-11,72.86369485822115,Electronics
207,428,2025-11-24,97.40790917261268,Clothing
208,102,2024-01-30,62.09697835114568,Home
209,474,2025-08-18,73.96838026861145,Home
210,267,2025-11-08,1.834860632874522,Electronics
211,355,2026-03-06,40.04636905880633,Clothing
212,456,2026-03-03,68.84795775520267,Home
213,110,2024-04-05,120.5480866768001,Home
214,462,2025-01-15,71.75177092827451,Electronics
215,330,2026-02-16,49.4656069947942,Home
216,450,2025-03-19,58.94212100963459,Clothing
217,430,2024-10-24,33.29507352864458,Home
218,265,2026-03-18,310.02562808965894,Clothing
219,3,2026-01-06,88.51290074217707,Clothing
220,85,2026-04-24,1.6200207003614704,Electronics
221,282,2024-12-26,2.3565389357819884,Home
222,328,2025-01-08,433.2598192605754,Electronics
223,304,2025-07-07,30.03878503319246,Home
224,450,2024-10-29,-196.54560309582462,Electronics
225,454,2025-02-24,7.205075916865592,Electronics
226,412,2024-09-02,304.8443411167251,Electronics
227,117,2025-12-20,248.9746096349331,Home
228,221,2024-08-24,101.5818654587022,Electronics
